tconst,score,focus
tt0099059,17.0,rating
tt0060395,13.0,rating
tt0099043,22.0,rating
tt1034090,42.0,rating
tt0172467,26.0,rating
tt1754633,11.0,rating
tt0051488,80.0,rating
tt0051489,27.0,rating
tt6222118,246.0,rating
tt0060396,1.0,rating
tt10341248,2.0,rating
tt4177856,804.0,rating
tt0172487,22.0,rating
tt0002445,3.0,rating
tt1034293,90.0,rating
tt0291172,76.0,rating
tt0172493,784.0,rating
tt0120901,166.0,rating
tt0099072,57.0,rating
tt1487906,4.0,rating
tt0436194,25.0,rating
tt0120903,2320.0,rating
tt0041911,9.0,rating
tt2558996,0.0,rating
tt0069255,2.0,rating
tt0099073,169.0,rating
tt0089163,0.0,rating
tt2122424,4.0,rating
tt0291183,2.0,rating
tt0099075,10.0,rating
tt0120906,453.0,rating
tt1034314,137.0,rating
tt0041917,19.0,rating
tt3349772,184.0,rating
tt0785035,72.0,rating
tt0366276,40.0,rating
tt0099076,37.0,rating
tt0291193,2.0,rating
tt0031008,1.0,rating
tt1034320,104.0,rating
tt0060400,18.0,rating
tt0120907,724.0,rating
tt0366287,15.0,rating
tt4178986,20.0,rating
tt5187548,1.0,rating
tt1223971,74.0,rating
tt0031012,5.0,rating
tt0099077,1059.0,rating
tt1754767,2.0,rating
tt0041918,3.0,rating
tt0291196,0.0,rating
tt0060401,9.0,rating
tt0366291,0.0,rating
tt1754787,10.0,rating
tt1034324,195.0,rating
tt0031014,8.0,rating
tt0291202,3.0,rating
tt0110367,499.0,rating
tt1487916,5.0,rating
tt5187816,41.0,rating
tt1034325,271.0,rating
tt0436200,0.0,rating
tt0172495,1379.0,rating
tt1223975,26.0,rating
tt0069257,71.0,rating
tt0002461,9.0,rating
tt1487924,6.0,rating
tt0060405,23.0,rating
tt1223980,10.0,rating
tt6222286,224.0,rating
tt0291213,16.0,rating
tt0110374,29.0,rating
tt0069260,5.0,rating
tt1034331,953.0,rating
tt1487931,134.0,rating
tt0172515,17.0,rating
tt0078962,40.0,rating
tt5189440,11.0,rating
tt0785076,6.0,rating
tt0089164,13.0,rating
tt0172518,2.0,rating
tt1034385,195.0,rating
tt0110383,18.0,rating
tt0002646,4.0,rating
tt0078963,110.0,rating
tt2123170,83.0,rating
tt4179040,8.0,rating
tt6222996,0.0,rating
tt0089167,22.0,rating
tt0120910,192.0,rating
tt7688812,2.0,rating
tt0172519,49.0,rating
tt1488032,4.0,rating
tt1034388,5.0,rating
tt0078966,187.0,rating
tt4179512,1.0,rating
tt0002844,14.0,rating
tt0089169,0.0,rating
tt0172534,40.0,rating
tt0235158,9.0,rating
tt0120912,860.0,rating
tt2123174,0.0,rating
tt7689182,0.0,rating
tt1488163,68.0,rating
tt1034389,496.0,rating
tt0099079,7.0,rating
tt0172543,92.0,rating
tt0041922,4.0,rating
tt2123190,4.0,rating
tt1488164,31.0,rating
tt0235160,3.0,rating
tt1034393,4.0,rating
tt0099080,18.0,rating
tt1224151,2.0,rating
tt1488176,0.0,rating
tt0235166,54.0,rating
tt0099081,4.0,rating
tt0172574,63.0,rating
tt1224153,27.0,rating
tt0436253,0.0,rating
tt0785077,166.0,rating
tt0110386,1.0,rating
tt0069265,12.0,rating
tt0099083,6.0,rating
tt1224366,550.0,rating
tt6223806,15.0,rating
tt0172610,41.0,rating
tt0436254,5.0,rating
tt0787094,1.0,rating
tt0110390,13.0,rating
tt0235181,1.0,rating
tt3350376,0.0,rating
tt6224010,0.0,rating
tt5189528,0.0,rating
tt0172627,252.0,rating
tt0089173,101.0,rating
tt7689186,3.0,rating
tt0235198,142.0,rating
tt4179950,0.0,rating
tt1754795,15.0,rating
tt0787442,20.0,rating
tt0051496,57.0,rating
tt3350436,15.0,rating
tt5189770,19.0,rating
tt1224370,1.0,rating
tt0003014,11.0,rating
tt0366292,37.0,rating
tt7689310,15.0,rating
tt0041926,16.0,rating
tt0787462,272.0,rating
tt0235245,0.0,rating
tt0172643,1.0,rating
tt1754811,313.0,rating
tt2123230,3.0,rating
tt0120913,572.0,rating
tt6224580,0.0,rating
tt3350890,24.0,rating
tt0003037,14.0,rating
tt1224373,9.0,rating
tt0041928,101.0,rating
tt7689532,0.0,rating
tt0172669,75.0,rating
tt2559036,3.0,rating
tt3350996,1.0,rating
tt0051497,5.0,rating
tt0120915,2098.0,rating
tt5189828,12.0,rating
tt0031020,31.0,rating
tt0003102,0.0,rating
tt2123294,7.0,rating
tt0235252,4.0,rating
tt5189894,28.0,rating
tt0172684,232.0,rating
tt0031021,2.0,rating
tt0235280,0.0,rating
tt7689906,190.0,rating
tt2559122,6.0,rating
tt2123342,50.0,rating
tt0366347,0.0,rating
tt0291225,7.0,rating
tt5190578,0.0,rating
tt7689908,3.0,rating
tt2559214,59.0,rating
tt2123884,210.0,rating
tt0366371,6.0,rating
tt7689910,5.0,rating
tt0051501,50.0,rating
tt0121051,26.0,rating
tt0060408,3.0,rating
tt2123996,1.0,rating
tt0366416,7.0,rating
tt7689912,0.0,rating
tt0436319,3.0,rating
tt4180286,0.0,rating
tt0051502,9.0,rating
tt0069266,4.0,rating
tt0060413,5.0,rating
tt0099085,31.0,rating
tt2124014,10.0,rating
tt0436331,763.0,rating
tt0089175,313.0,rating
tt1754830,83.0,rating
tt0060414,247.0,rating
tt0078975,93.0,rating
tt0089177,13.0,rating
tt0787470,202.0,rating
tt0060415,7.0,rating
tt3351004,4.0,rating
tt0099088,1353.0,rating
tt1034397,8.0,rating
tt0078976,43.0,rating
tt1488177,0.0,rating
tt0031022,35.0,rating
tt0366444,4.0,rating
tt0235329,6.0,rating
tt1754838,4.0,rating
tt0099089,7.0,rating
tt1034402,7.0,rating
tt5190944,3.0,rating
tt0078978,43.0,rating
tt0172699,75.0,rating
tt0366450,118.0,rating
tt0099090,103.0,rating
tt0235333,56.0,rating
tt0291259,42.0,rating
tt1034415,405.0,rating
tt2559244,2.0,rating
tt0436339,652.0,rating
tt0366505,2.0,rating
tt0003131,0.0,rating
tt2559458,24.0,rating
tt0060416,10.0,rating
tt7689924,4.0,rating
tt0121067,305.0,rating
tt0366517,8.0,rating
tt0003165,13.0,rating
tt0099091,264.0,rating
tt0436343,25.0,rating
tt0051504,4.0,rating
tt4180556,226.0,rating
tt1034431,21.0,rating
tt2559620,4.0,rating
tt0003167,18.0,rating
tt0099094,2.0,rating
tt0041929,30.0,rating
tt0060418,253.0,rating
tt7689928,5.0,rating
tt1224376,5.0,rating
tt0787474,539.0,rating
tt4180560,182.0,rating
tt2124074,163.0,rating
tt1034436,0.0,rating
tt0069269,4.0,rating
tt0003419,11.0,rating
tt0041931,58.0,rating
tt0051507,34.0,rating
tt0060420,87.0,rating
tt7689932,1.0,rating
tt0089194,10.0,rating
tt7689934,0.0,rating
tt0051509,2.0,rating
tt0041935,0.0,rating
tt0078980,7.0,rating
tt0003471,3.0,rating
tt0060424,171.0,rating
tt7689936,7.0,rating
tt1754866,11.0,rating
tt5190950,25.0,rating
tt0041940,12.0,rating
tt0110391,186.0,rating
tt0235353,61.0,rating
tt0060426,200.0,rating
tt0051512,11.0,rating
tt5190958,35.0,rating
tt0089199,109.0,rating
tt0110392,173.0,rating
tt3351428,0.0,rating
tt1754912,8.0,rating
tt0366518,69.0,rating
tt0003489,1.0,rating
tt6224676,1.0,rating
tt0110395,210.0,rating
tt0089200,61.0,rating
tt0235393,0.0,rating
tt5191238,14.0,rating
tt0051514,5.0,rating
tt1754920,78.0,rating
tt0003637,27.0,rating
tt5192674,4.0,rating
tt0069270,13.0,rating
tt4180576,23.0,rating
tt3352034,219.0,rating
tt0121103,9.0,rating
tt6225520,125.0,rating
tt1754944,8.0,rating
tt0003643,14.0,rating
tt0787475,539.0,rating
tt2559786,10.0,rating
tt0099097,6.0,rating
tt5193408,9.0,rating
tt0089203,54.0,rating
tt7689940,1.0,rating
tt1488181,346.0,rating
tt0436345,2.0,rating
tt2560016,9.0,rating
tt0069273,183.0,rating
tt1754946,12.0,rating
tt1488555,883.0,rating
tt0436359,5.0,rating
tt2560102,151.0,rating
tt7689946,0.0,rating
tt6226212,5.0,rating
tt0172708,2.0,rating
tt0291265,46.0,rating
tt1756384,6.0,rating
tt0078989,13.0,rating
tt1034449,50.0,rating
tt0436364,378.0,rating
tt0041944,34.0,rating
tt0031033,26.0,rating
tt7689950,2.0,rating
tt0078991,2.0,rating
tt0069276,9.0,rating
tt1756415,9.0,rating
tt0060429,19.0,rating
tt7689956,0.0,rating
tt0436370,7.0,rating
tt0031038,33.0,rating
tt0069278,63.0,rating
tt10348516,3.0,rating
tt7689958,11.0,rating
tt1756427,9.0,rating
tt0235406,0.0,rating
tt0079002,75.0,rating
tt2124096,12.0,rating
tt0051516,52.0,rating
tt0366526,18.0,rating
tt7689960,3.0,rating
tt0436374,35.0,rating
tt4181052,507.0,rating
tt0079003,18.0,rating
tt1756476,29.0,rating
tt0110400,211.0,rating
tt0291272,0.0,rating
tt2124180,4.0,rating
tt3352168,6.0,rating
tt0051519,67.0,rating
tt0366527,28.0,rating
tt0069279,34.0,rating
tt4181270,509.0,rating
tt0787485,73.0,rating
tt0291275,5.0,rating
tt0099103,7.0,rating
tt3352390,145.0,rating
tt2124181,0.0,rating
tt0436385,3.0,rating
tt7690016,48.0,rating
tt1488556,0.0,rating
tt0787495,38.0,rating
tt0099108,26.0,rating
tt0436392,0.0,rating
tt4181782,203.0,rating
tt0003657,3.0,rating
tt2560440,3.0,rating
tt0787500,60.0,rating
tt0172711,50.0,rating
tt0099113,35.0,rating
tt7690020,4.0,rating
tt10349240,0.0,rating
tt1224378,50.0,rating
tt0060430,9.0,rating
tt0787515,105.0,rating
tt2560792,8.0,rating
tt0099114,5.0,rating
tt1224436,0.0,rating
tt0235413,15.0,rating
tt5193460,24.0,rating
tt0235414,0.0,rating
tt0079007,3.0,rating
tt2561140,4.0,rating
tt1756479,11.0,rating
tt0099118,3.0,rating
tt0366532,21.0,rating
tt0031043,8.0,rating
tt3352748,7.0,rating
tt2561546,241.0,rating
tt0079010,54.0,rating
tt0436445,25.0,rating
tt5193658,1.0,rating
tt0110411,1.0,rating
tt1488574,14.0,rating
tt0079013,178.0,rating
tt3353060,110.0,rating
tt7690466,4.0,rating
tt2561572,475.0,rating
tt0291305,7.0,rating
tt0110413,1195.0,rating
tt0060434,9.0,rating
tt5193790,69.0,rating
tt10350048,0.0,rating
tt0069280,77.0,rating
tt0172726,272.0,rating
tt2562162,3.0,rating
tt3353138,2.0,rating
tt0060437,191.0,rating
tt7690638,43.0,rating
tt0172761,21.0,rating
tt5194048,1.0,rating
tt0110418,54.0,rating
tt2124186,21.0,rating
tt3353850,7.0,rating
tt0110425,15.0,rating
tt0291310,5.0,rating
tt0172776,7.0,rating
tt7690670,515.0,rating
tt1224449,4.0,rating
tt0291317,0.0,rating
tt3354096,8.0,rating
tt1756487,24.0,rating
tt0110428,300.0,rating
tt1224455,6.0,rating
tt0366544,3.0,rating
tt12246266,10.0,rating
tt0366548,1170.0,rating
tt3354222,42.0,rating
tt6227144,4.0,rating
tt0099119,8.0,rating
tt0031045,5.0,rating
tt1756508,0.0,rating
tt0436451,4.0,rating
tt3354302,6.0,rating
tt0787523,382.0,rating
tt0110438,31.0,rating
tt0099127,154.0,rating
tt10350626,88.0,rating
tt0121152,0.0,rating
tt2562232,1636.0,rating
tt6227148,9.0,rating
tt0031047,50.0,rating
tt0110442,158.0,rating
tt0069281,432.0,rating
tt0436460,20.0,rating
tt0099128,235.0,rating
tt1488591,9.0,rating
tt0041945,19.0,rating
tt0031051,0.0,rating
tt0787524,614.0,rating
tt0110449,12.0,rating
tt0060438,42.0,rating
tt0099134,53.0,rating
tt0051522,47.0,rating
tt0031054,3.0,rating
tt2562286,1.0,rating
tt2124787,230.0,rating
tt0172811,4.0,rating
tt0235424,0.0,rating
tt4182282,1.0,rating
tt0051524,26.0,rating
tt1488594,9.0,rating
tt2562726,175.0,rating
tt1225290,10.0,rating
tt0235433,0.0,rating
tt0291320,13.0,rating
tt0110455,251.0,rating
tt4183002,12.0,rating
tt0031055,4.0,rating
tt0172812,13.0,rating
tt1488601,2.0,rating
tt1756595,6.0,rating
tt1225296,3.0,rating
tt0110456,0.0,rating
tt0291324,50.0,rating
tt0089206,235.0,rating
tt3355014,14.0,rating
tt0172919,0.0,rating
tt0031058,3.0,rating
tt0788017,6.0,rating
tt3355486,2.0,rating
tt0003740,17.0,rating
tt1756599,33.0,rating
tt0172980,44.0,rating
tt0041947,19.0,rating
tt0079019,18.0,rating
tt6227164,0.0,rating
tt7690762,60.0,rating
tt1035498,3.0,rating
tt0121164,981.0,rating
tt0788052,4.0,rating
tt0436524,76.0,rating
tt1756615,83.0,rating
tt6227192,3.0,rating
tt0121180,0.0,rating
tt0173015,4.0,rating
tt0235438,4.0,rating
tt0041948,23.0,rating
tt10356526,1.0,rating
tt6227846,11.0,rating
tt0060440,26.0,rating
tt1488602,77.0,rating
tt7691572,44.0,rating
tt2124901,33.0,rating
tt1488606,990.0,rating
tt2124926,0.0,rating
tt0173024,6.0,rating
tt0366551,632.0,rating
tt1225302,16.0,rating
tt4183200,8.0,rating
tt0031060,78.0,rating
tt1489154,0.0,rating
tt1035729,15.0,rating
tt2124959,26.0,rating
tt0366555,22.0,rating
tt12256440,1.0,rating
tt0173042,6.0,rating
tt0031066,30.0,rating
tt0110463,69.0,rating
tt2125425,41.0,rating
tt0099136,323.0,rating
tt0436607,14.0,rating
tt0366581,4.0,rating
tt0099138,83.0,rating
tt1756616,10.0,rating
tt0079027,50.0,rating
tt1489155,13.0,rating
tt2125429,0.0,rating
tt0436639,11.0,rating
tt0235452,23.0,rating
tt5194446,7.0,rating
tt1756679,3.0,rating
tt1489167,37.0,rating
tt0003772,27.0,rating
tt0788252,12.0,rating
tt0121232,12.0,rating
tt0235497,15.0,rating
tt5194504,107.0,rating
tt6228640,8.0,rating
tt0121237,0.0,rating
tt0003883,2.0,rating
tt7692434,6.0,rating
tt1035730,32.0,rating
tt0060445,224.0,rating
tt6228890,3.0,rating
tt0235532,8.0,rating
tt0291341,181.0,rating
tt7692822,13.0,rating
tt0003930,10.0,rating
tt5195390,5.0,rating
tt0121253,2.0,rating
tt6229030,17.0,rating
tt4183372,4.0,rating
tt0041949,20.0,rating
tt0031067,16.0,rating
tt0235546,0.0,rating
tt0089209,2.0,rating
tt0003952,13.0,rating
tt0099141,257.0,rating
tt6229100,0.0,rating
tt0366598,58.0,rating
tt4183692,107.0,rating
tt0069289,42.0,rating
tt0041954,13.0,rating
tt0051525,58.0,rating
tt0099143,207.0,rating
tt6229252,14.0,rating
tt1756692,10.0,rating
tt0436697,405.0,rating
tt0051530,6.0,rating
tt2125430,1.0,rating
tt3355510,68.0,rating
tt1756773,23.0,rating
tt6229652,15.0,rating
tt0089218,943.0,rating
tt3356176,11.0,rating
tt0069291,44.0,rating
tt0436701,0.0,rating
tt0110468,11.0,rating
tt1035732,11.0,rating
tt3356682,0.0,rating
tt1756782,7.0,rating
tt0235553,16.0,rating
tt0436710,21.0,rating
tt5195412,318.0,rating
tt0121259,10.0,rating
tt0069293,190.0,rating
tt7692824,9.0,rating
tt0060446,3.0,rating
tt5195828,1.0,rating
tt3357178,8.0,rating
tt0436721,0.0,rating
tt0069299,26.0,rating
tt0089224,2.0,rating
tt4183756,5.0,rating
tt0121279,5.0,rating
tt0031068,3.0,rating
tt0060449,14.0,rating
tt2563548,5.0,rating
tt1225698,49.0,rating
tt0099151,1.0,rating
tt4183910,1.0,rating
tt0031071,1.0,rating
tt0060450,30.0,rating
tt0121297,0.0,rating
tt6229786,5.0,rating
tt0789770,62.0,rating
tt0121339,0.0,rating
tt1756791,263.0,rating
tt0173052,34.0,rating
tt0789771,8.0,rating
tt6230134,4.0,rating
tt0003973,0.0,rating
tt1035733,32.0,rating
tt0173080,43.0,rating
tt7692966,16.0,rating
tt1756799,50.0,rating
tt0173081,49.0,rating
tt4184350,2.0,rating
tt0291350,189.0,rating
tt0110472,20.0,rating
tt7694738,34.0,rating
tt0436742,18.0,rating
tt0366616,6.0,rating
tt1489172,2.0,rating
tt1756832,5.0,rating
tt0099153,1.0,rating
tt0031072,3.0,rating
tt0173102,53.0,rating
tt4184744,121.0,rating
tt2125435,491.0,rating
tt0051532,58.0,rating
tt1489231,0.0,rating
tt0436769,25.0,rating
tt0110475,745.0,rating
tt0031074,24.0,rating
tt0041955,12.0,rating
tt0235555,0.0,rating
tt0041956,13.0,rating
tt0079028,6.0,rating
tt5195842,0.0,rating
tt2564144,33.0,rating
tt0291368,27.0,rating
tt1225703,10.0,rating
tt0099155,52.0,rating
tt2564354,0.0,rating
tt1756851,476.0,rating
tt7695014,42.0,rating
tt5196472,36.0,rating
tt0004066,3.0,rating
tt0173114,0.0,rating
tt0089230,0.0,rating
tt2564706,39.0,rating
tt0060453,44.0,rating
tt0031077,2.0,rating
tt5196516,0.0,rating
tt0004099,36.0,rating
tt0089231,4.0,rating
tt4184878,11.0,rating
tt0173156,20.0,rating
tt1489240,2.0,rating
tt2125472,88.0,rating
tt0121371,0.0,rating
tt0436774,0.0,rating
tt0004134,2.0,rating
tt0110478,590.0,rating
tt0060457,5.0,rating
tt0051534,238.0,rating
tt0291376,87.0,rating
tt0041959,171.0,rating
tt0060461,63.0,rating
tt1489253,8.0,rating
tt0121387,9.0,rating
tt1489263,15.0,rating
tt0436854,14.0,rating
tt0004150,1.0,rating
tt0060463,66.0,rating
tt0436886,13.0,rating
tt1225856,3.0,rating
tt1756873,2.0,rating
tt1035736,170.0,rating
tt0089233,3.0,rating
tt2125496,9.0,rating
tt2564978,56.0,rating
tt1757671,10.0,rating
tt0235578,1.0,rating
tt0060464,17.0,rating
tt0031082,4.0,rating
tt0173167,52.0,rating
tt1757710,30.0,rating
tt2565180,12.0,rating
tt3357416,6.0,rating
tt0069303,103.0,rating
tt0060472,146.0,rating
tt10358022,42.0,rating
tt0041963,7.0,rating
tt0069308,5.0,rating
tt0110489,1.0,rating
tt2565280,0.0,rating
tt10358198,70.0,rating
tt0060473,2.0,rating
tt0235596,61.0,rating
tt0069311,6.0,rating
tt0121390,2.0,rating
tt0291395,32.0,rating
tt0235606,38.0,rating
tt10360782,17.0,rating
tt0099160,280.0,rating
tt0790590,43.0,rating
tt0121395,14.0,rating
tt0069312,6.0,rating
tt0366621,20.0,rating
tt7695300,5.0,rating
tt0004181,21.0,rating
tt0060475,21.0,rating
tt0235607,6.0,rating
tt1225902,25.0,rating
tt10362466,89.0,rating
tt0790602,7.0,rating
tt2565306,2.0,rating
tt0089238,17.0,rating
tt1226229,1021.0,rating
tt2125500,171.0,rating
tt0004457,36.0,rating
tt7695522,13.0,rating
tt0291400,26.0,rating
tt0235608,306.0,rating
tt1226232,668.0,rating
tt1757742,53.0,rating
tt0291404,3.0,rating
tt0173171,163.0,rating
tt4185364,80.0,rating
tt1226236,151.0,rating
tt0051536,1.0,rating
tt1226240,516.0,rating
tt4185370,414.0,rating
tt6230488,0.0,rating
tt0173173,26.0,rating
tt0051539,2.0,rating
tt0436889,14.0,rating
tt0173227,1.0,rating
tt5197068,6.0,rating
tt0099164,27.0,rating
tt0079031,15.0,rating
tt6231398,0.0,rating
tt0235609,7.0,rating
tt10364402,0.0,rating
tt0069318,9.0,rating
tt0366623,11.0,rating
tt0031084,10.0,rating
tt0291424,0.0,rating
tt0079035,1.0,rating
tt7697060,0.0,rating
tt0121401,27.0,rating
tt6231588,1.0,rating
tt0291478,3.0,rating
tt0089243,16.0,rating
tt2565650,13.0,rating
tt7697348,0.0,rating
tt6231784,0.0,rating
tt0121419,10.0,rating
tt7698468,33.0,rating
tt0069322,0.0,rating
tt4185566,168.0,rating
tt2565752,25.0,rating
tt7699198,10.0,rating
tt1489887,397.0,rating
tt0051541,4.0,rating
tt0041967,62.0,rating
tt0436977,0.0,rating
tt0173235,14.0,rating
tt0079039,0.0,rating
tt0060476,6.0,rating
tt0004465,3.0,rating
tt0041969,24.0,rating
tt5197092,5.0,rating
tt0089251,0.0,rating
tt0291501,0.0,rating
tt0004635,4.0,rating
tt3357918,14.0,rating
tt0173240,1.0,rating
tt0235679,73.0,rating
tt3358304,5.0,rating
tt0291502,510.0,rating
tt6233882,4.0,rating
tt2565974,1.0,rating
tt0069329,7.0,rating
tt2125514,5.0,rating
tt0235686,2.0,rating
tt3358328,0.0,rating
tt2566016,1.0,rating
tt6234016,2.0,rating
tt0366627,709.0,rating
tt1757746,38.0,rating
tt1489889,645.0,rating
tt2566580,38.0,rating
tt7700730,103.0,rating
tt0366630,10.0,rating
tt0099165,851.0,rating
tt0110490,273.0,rating
tt7701808,4.0,rating
tt2566644,24.0,rating
tt0436979,10.0,rating
tt3358470,4.0,rating
tt0089254,2.0,rating
tt0041971,34.0,rating
tt1757769,28.0,rating
tt0079043,7.0,rating
tt2567026,1096.0,rating
tt0436982,5.0,rating
tt10366254,12.0,rating
tt4185862,1.0,rating
tt1757772,6.0,rating
tt0291507,5.0,rating
tt3358534,10.0,rating
tt2567038,26.0,rating
tt0121431,5.0,rating
tt0173255,0.0,rating
tt0291532,0.0,rating
tt0436986,1.0,rating
tt4186118,11.0,rating
tt0069331,0.0,rating
tt0004681,0.0,rating
tt0121442,9.0,rating
tt4186170,1.0,rating
tt0235712,64.0,rating
tt2125558,174.0,rating
tt6234666,4.0,rating
tt4187366,1.0,rating
tt3359366,0.0,rating
tt0235737,389.0,rating
tt5197544,46.0,rating
tt6235414,3.0,rating
tt0041974,9.0,rating
tt0089256,116.0,rating
tt0110496,252.0,rating
tt7702334,17.0,rating
tt3359650,1.0,rating
tt0790604,210.0,rating
tt0089259,19.0,rating
tt2125650,0.0,rating
tt0041975,19.0,rating
tt0031092,2.0,rating
tt0366635,7.0,rating
tt0110500,116.0,rating
tt0051542,33.0,rating
tt10366806,1.0,rating
tt3359754,7.0,rating
tt0079051,6.0,rating
tt2125651,6.0,rating
tt0121503,1.0,rating
tt10366896,2.0,rating
tt0173256,0.0,rating
tt0235751,0.0,rating
tt0790612,27.0,rating
tt0366655,14.0,rating
tt0110505,6.0,rating
tt0291535,18.0,rating
tt0051550,8.0,rating
tt10369210,4.0,rating
tt0790618,42.0,rating
tt0235796,2.0,rating
tt2125685,34.0,rating
tt1037004,17.0,rating
tt10370116,20.0,rating
tt0099166,44.0,rating
tt0060481,58.0,rating
tt1490017,1245.0,rating
tt0099167,1.0,rating
tt0089264,103.0,rating
tt0110508,19.0,rating
tt7702336,4.0,rating
tt0099173,219.0,rating
tt0089265,24.0,rating
tt0004707,138.0,rating
tt0173279,100.0,rating
tt3359872,45.0,rating
tt7703070,117.0,rating
tt0089268,0.0,rating
tt0235826,2.0,rating
tt0366664,5.0,rating
tt0291538,14.0,rating
tt0041982,13.0,rating
tt5198670,162.0,rating
tt0366668,7.0,rating
tt0235841,5.0,rating
tt1757841,0.0,rating
tt7703924,19.0,rating
tt1490602,7.0,rating
tt0041983,29.0,rating
tt0366711,0.0,rating
tt0051554,73.0,rating
tt0041986,3.0,rating
tt0099180,49.0,rating
tt0366720,93.0,rating
tt0031102,21.0,rating
tt0060482,7.0,rating
tt2567220,0.0,rating
tt0110512,47.0,rating
tt0437086,1599.0,rating
tt2126235,718.0,rating
tt0790623,781.0,rating
tt3360038,37.0,rating
tt0060483,18.0,rating
tt0079054,13.0,rating
tt0089269,6.0,rating
tt0235847,2.0,rating
tt6235650,0.0,rating
tt0069336,1.0,rating
tt7704346,0.0,rating
tt0004712,6.0,rating
tt0121556,11.0,rating
tt5198796,157.0,rating
tt0079058,26.0,rating
tt0366750,60.0,rating
tt0089270,8.0,rating
tt0041989,5.0,rating
tt0291559,3.0,rating
tt7704392,2.0,rating
tt1757912,6.0,rating
tt10370380,183.0,rating
tt1490651,6.0,rating
tt0041994,17.0,rating
tt6236662,0.0,rating
tt0366761,74.0,rating
tt0089271,3.0,rating
tt1757926,3.0,rating
tt0089272,1.0,rating
tt6236762,0.0,rating
tt0366762,237.0,rating
tt0099184,7.0,rating
tt0060484,31.0,rating
tt0437150,0.0,rating
tt4187590,9.0,rating
tt3360128,3.0,rating
tt0173283,10.0,rating
tt0099187,23.0,rating
tt6236780,6.0,rating
tt2567370,7.0,rating
tt0069341,49.0,rating
tt3360828,1.0,rating
tt0437171,7.0,rating
tt0079060,3.0,rating
tt5198844,2.0,rating
tt0099194,49.0,rating
tt6237224,12.0,rating
tt7705790,14.0,rating
tt0437179,78.0,rating
tt0235848,,rating
tt0291579,141.0,rating
tt2126336,0.0,rating
tt0060486,10.0,rating
tt0069343,32.0,rating
tt5198850,10.0,rating
tt6237268,61.0,rating
tt0235858,4.0,rating
tt0291580,22.0,rating
tt2126355,645.0,rating
tt0060490,139.0,rating
tt0051565,59.0,rating
tt10370402,59.0,rating
tt5198868,8.0,rating
tt0235872,125.0,rating
tt0291709,7.0,rating
tt0089274,137.0,rating
tt1490749,4.0,rating
tt0235891,7.0,rating
tt2126357,277.0,rating
tt0235952,3.0,rating
tt0031103,19.0,rating
tt0173298,97.0,rating
tt1490759,4.0,rating
